Countries and areas,Child labour (%)+  total,Child labour (%)+  male,Child labour (%)+ female,Child marriage (%) married by 15,Child marriage (%) married by 18,Birth registration (%),Female genital mutilation/cutting (%) prevalence women,Female genital mutilation/cutting (%) prevalence girls,Female genital mutilation/cutting (%) support for the practice,Justification of wife-beating (%) male,Justification of wife-beating (%) female,Violent discipline (%) total,Violent discipline (%) male,Violent discipline (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,29,34,24,9,35,42,,,,72,80,74,75,74,,104
Albania,5,6,4,0,10,99,,,,36,30,77,81,73,101,105
Algeria,5,6,5,0,3,100,,,,,59,86,88,85,102,103
Andorra,,,,,,100,,,,,,,,,99,
Angola,23,22,25,8,30,25,,,,20,25,,,,,110
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,107
Argentina,4,5,4,,,100,,,,,2,72,74,71,100,110
Armenia,9,11,6,0,5,99,,,,23,10,69,71,67,99,109
Australia,,,,,,100,,,,,,,,,,105
Austria,,,,,,100,,,,,,,,,101,106
Azerbaijan,7,8,5,2,11,94,,,,,28,77,80,74,95,109
Bahamas,,,,,,,,,,,,,,,,108
Bahrain,5,6,3,,,,,,,,,,,,97,103
Bangladesh,4,5,4,22,59,20,,,,,28,82,83,82,,105
Barbados,2,3,1,1,11,99,,,,,3,75,78,72,,107
Belarus,1,1,2,0,3,100,,,,4,4,65,67,62,100,116
Belgium,,,,,,100,,,,,,,,,102,106
Belize,3,5,1,3,26,96,,,,5,5,65,67,63,98,108
Benin,53,54,51,7,26,85,9,0,3,17,36,91,92,90,95,105
Bhutan,3,3,3,6,26,100,,,,,68,,,,101,101
Bolivia (Plurinational State of),26,28,24,3,22,76,,,,,16,,,,101,108
Bosnia and Herzegovina,5,7,4,0,4,100,,,,6,5,55,60,50,101,107
Botswana,9,11,7,,,83,,,,,,,,,103,109
Brazil,7,9,5,11,36,96,,,,,,,,,,110
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,97,104
Bulgaria,,,,,,100,,,,,,,,,100,110
Burkina Faso,39,42,36,10,52,77,76,13,9,34,44,83,84,82,114,102
Burundi,26,26,27,3,20,75,,,,44,73,,,,118,107
Cabo Verde,6,,,3,18,91,,,,17,17,,,,101,106
Cambodia,19,20,19,2,19,73,,,,27,50,,,,134,106
Cameroon,47,50,44,10,31,66,1,1,7,39,36,85,85,85,104,104
Canada,,,,,,100,,,,,,,,,,105
Central African Republic ,29,27,30,29,68,61,24,1,11,75,80,92,92,92,96,107
Chad,52,51,52,30,67,12,38,10,29,51,74,71,72,71,85,105
Chile,7,,,,,99,,,,,,,,,101,107
China,,,,,,,,,,,,,,,,104
Colombia,8,10,5,5,23,99,,,,,,,,,106,110
Comoros,22,20,24,10,32,87,,,,17,39,,,,121,105
Congo,23,,,6,33,96,,,,40,54,83,,,,105
Cook Islands,,,,,,,,,,,,,,,94,
Costa Rica,4,4,5,7,21,100,,,,,4,46,52,39,101,106
Côte d'Ivoire,26,25,28,10,33,65,38,10,14,42,48,91,91,91,95,106
Croatia,,,,,,,,,,,,,,,99,109
Cuba,,,,5,26,100,,,,7,4,36,37,35,100,105
Cyprus,,,,,,100,,,,,,,,,99,106
Czechia,,,,,,100,,,,,,,,,100,108
Democratic People's Republic of Korea,,,,,,100,,,,,,,,,,110
Democratic Republic of the Congo,38,36,41,10,37,25,,,,61,75,82,82,81,99,105
Denmark,,,,,,100,,,,,,,,,100,105
Djibouti,8,8,8,2,5,92,93,49,37,,,72,73,71,88,105
Dominica,,,,,,,,,,,,,,,95,
Dominican Republic,13,17,9,12,36,88,,,,,2,63,64,61,105,109
Ecuador,5,5,5,4,22,94,,,,,,,,,102,107
Egypt,7,8,6,2,17,99,87,14,54,,36,93,93,93,,106
El Salvador,9,13,5,6,26,99,,,,,8,52,55,50,105,113
Equatorial Guinea,28,28,28,9,30,54,,,,52,53,,,,100,105
Eritrea,,,,13,41,,83,33,12,45,51,,,,103,107
Estonia,,,,,,100,,,,,,,,,101,113
Ethiopia,27,31,24,14,40,3,65,16,18,28,63,,,,105,106
Fiji,,,,,,,,,,,,72,,,98,109
Finland,,,,,,100,,,,,,,,,100,107
France,,,,,,100,,,,,,,,,,108
Gabon,13,15,12,6,22,90,,,,40,50,,,,,105
Gambia,19,21,18,9,30,72,75,56,65,33,58,90,90,91,106,104
Georgia,4,6,2,1,14,100,,,,,7,67,70,63,100,112
Germany,,,,,,100,,,,,,,,,100,106
Ghana,22,23,21,5,21,71,4,1,2,13,28,94,94,94,97,103
Greece,,,,,,100,,,,,,,,,100,107
Grenada,,,,,,,,,,,,,,,,107
Guatemala,26,35,16,6,30,96,,,,7,11,,,,99,109
Guinea,28,29,27,21,52,58,97,46,76,66,92,,,,97,102
Guinea-Bissau,51,50,53,6,24,24,45,30,13,29,42,82,83,82,,106
Guyana,18,20,17,4,30,89,,,,10,10,70,74,65,105,107
Haiti,24,25,24,3,18,80,,,,15,17,85,85,84,,107
Holy See,,,,,,,,,,,,,,,,
Honduras,14,21,8,8,34,94,,,,10,12,,,,110,107
Hungary,,,,,,100,,,,,,,,,100,110
Iceland,,,,,,100,,,,,,,,,102,104
India,12,12,12,18,47,72,,,,42,47,,,,99,105
Indonesia,7,8,6,1,14,73,,49,,18,35,,,,,106
Iran (Islamic Republic of),11,13,10,3,17,99,,,,,,,,,99,103
Iraq,5,5,4,5,24,99,8,3,5,,51,79,81,77,,107
Ireland,,,,,,100,,,,,,,,,,105
Israel,,,,,,100,,,,,,,,,98,104
Italy,,,,,,100,,,,,,,,,100,106
Jamaica,3,4,3,1,8,100,,,,,5,85,87,82,103,107
Japan,,,,,,100,,,,,,,,,100,108
Jordan,2,3,0,0,8,99,,,,,70,90,91,89,,105
Kazakhstan,2,2,2,0,7,100,,,,,14,53,55,50,101,115
Kenya,26,27,25,4,23,67,21,3,6,36,42,,,,,108
Kiribati,,,,3,20,94,,,,60,76,81,,,,110
Kuwait,,,,,,,,,,,,,,,101,103
Kyrgyzstan,26,30,22,1,12,98,,,,,33,57,60,54,100,112
Lao People's Democratic Republic,10,9,11,9,35,75,,,,49,58,76,77,74,104,105
Latvia,,,,,,100,,,,,,,,,100,114
Lebanon,2,3,1,1,6,100,,,,,10,82,82,82,108,105
Lesotho,23,25,21,1,17,43,,,,40,33,,,,129,109
Liberia,21,21,21,9,36,25,50,,39,24,43,90,90,90,,103
Libya,,,,,,,,,,,,,,,,108
Liechtenstein,,,,,,100,,,,,,,,,,
Lithuania,,,,,,100,,,,,,,,,100,115
Luxembourg,,,,,,100,,,,,,,,,103,106
