Countries and areas,Population (thousands) total,Population (thousands) under 18,Population (thousands) under 5,Population annual growth rate (%) 1990-2016,Population annual growth rate (%) 2016-2030α,Crude death rate 1970,Crude death rate 1990,Crude death rate 2016,Crude birth rate 1970,Crude birth rate 1990,Crude birth rate 2016,Life expectancy 1970,Life expectancy 1990,Life expectancy 2016,Total fertility rate 2016,Urbanized population (%) 2016,Average annual growth rate of urban population (%) 1990-2016,Average annual growth rate of urban population (%) 2016-2030α,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,"34,656","17,744","5,233",4.0,2.1,28,16,7,52,49,33,37,50,64,4.6,27,5.5,3.6,,104
Albania,"2,926",659,177,-0.4,0.0,8,6,7,32,25,12,67,72,78,1.7,58,1.5,1.4,101,105
Algeria,"40,606","13,495","4,699",1.7,1.3,17,6,5,47,32,23,50,67,76,2.8,71,3.0,1.7,102,103
Andorra,77,13,3,1.3,0.1,,,,,,,,,,,85,1.1,0.2,99,
Angola,"28,813","15,416","5,277",3.3,3.1,27,23,9,53,53,42,37,42,62,5.7,45,5.3,4.2,,110
Anguilla,15,4,1,2.2,0.5,,,,,,,,,,,100,2.2,0.5,,
Antigua and Barbuda,101,30,8,1.6,0.9,7,7,6,31,19,16,66,71,76,2.1,23,0.0,0.3,,107
Argentina,"43,847","13,076","3,736",1.1,0.8,9,8,8,23,22,17,66,72,77,2.3,92,1.2,0.8,100,110
Armenia,"2,925",685,202,-0.7,0.0,6,8,10,23,22,13,70,68,75,1.6,63,-0.9,0.1,99,109
Australia,"24,126","5,433","1,551",1.3,1.1,9,7,7,20,15,13,71,77,83,1.8,90,1.5,1.2,,105
Austria,"8,712","1,489",412,0.5,0.2,13,11,10,16,11,10,70,76,82,1.5,66,0.5,0.6,101,106
Azerbaijan,"9,725","2,653",891,1.1,0.7,9,9,7,32,29,18,63,65,72,2.1,55,1.2,1.2,95,109
Bahamas,391,97,28,1.6,0.8,6,5,6,26,24,14,66,71,76,1.8,83,1.8,1.1,,108
Bahrain,"1,425",334,107,4.1,2.5,7,3,2,38,29,15,63,72,77,2.0,89,4.0,1.3,97,103
