Countries and areas,Attendance in early childhood education total,Attendance in early childhood education male,Attendance in early childhood education female,Attendance in early childhood education poorest 20%,Attendance in early childhood education richest 20%,Adult support for learning total,Adult support for learning male,Adult support for learning female,Adult support for learning poorest 20%,Adult support for learning richest 20%,"Father's support for learning++
20052016*",Learning materials at home (books) total,Learning materials at home (books) poorest 20%,Learning materials at home (books) richest 20%,Learning materials at home (playthings) total,Learning materials at home (playthings) poorest 20%,Learning materials at home (playthings) richest 20%,Children with inadequate supervision total,Children with inadequate supervision male,Children with inadequate supervision female,Children with inadequate supervision poorest 20%,Children with inadequate supervision richest 20%,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,1,1,1,0,4,73,74,73,72,80,62,2,1,5,53,52,57,40,42,39,43,27,,104
Albania,40,39,42,26,60,86,85,87,68,96,53,32,16,52,53,57,48,13,14,11,9,16,101,105
Algeria,17,17,16,7,31,78,79,78,64,92,79,11,3,23,35,32,36,6,6,5,6,6,102,103
Andorra,,,,,,,,,,,,,,,,,,,,,,,99,
Angola,,,,,,,,,,,,,,,,,,,,,,,,110
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,107
Argentina,63,61,66,46,85,84,83,85,73,95,57,61,40,83,61,58,63,8,9,8,10,5,100,110
Armenia,,,,,,,,,,,,,,,,,,,,,,,99,109
Australia,,,,,,,,,,,,,,,,,,,,,,,,105
Austria,,,,,,,,,,,,,,,,,,,,,,,101,106
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,95,109
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,108
Bahrain,,,,,,,,,,,,,,,,,,,,,,,97,103
Bangladesh,13,13,14,12,18,78,78,78,64,94,10,9,2,23,60,57,60,12,11,12,14,12,,105
Barbados,90,88,91,90,97,97,97,97,100,100,46,85,83,89,76,68,77,1,2,1,0,3,,107
Belarus,88,86,89,75,91,96,94,97,90,99,68,92,83,96,79,77,79,4,4,4,4,5,100,116
