Countries and areas,Youth (1524 years) literacy rate (%) male,Youth (1524 years) literacy rate (%) female,Number per 100 population  mobile phones,Number per 100 population  internet users,Pre-primary school participation (%) male,Pre-primary school participation (%) female,Primary school participation Gross enrollment ratio (%) male,Primary school participation Gross enrollment ratio (%) female,Primary school participation Net enrollment ratio (%) male,Primary school participation Net enrollment ratio (%) female,Primary school participation Net attendance ratio (%) male,Primary school participation Net attendance ratio (%) female,Survival rate to last primary grade (%) male,Survival rate to last primary grade (%)  female,Lower secondary school participation Net enrollment ratio (%) male,Lower secondary school participation Net enrollment ratio (%) female,Lower secondary school participation Net attendance ratio (%) male,Lower secondary school participation Net attendance ratio (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,62,32,66,11,,,132,91,,,73,53,,,62,38,48,28,,104
Albania,99,99,105,66,90,87,116,112,96,95,92,93,95,96,91,90,90,92,101,105
Algeria,96,92,117,43,79,79,120,113,,,98,97,93,95,,,82,85,102,103
Andorra,100,100,87,98,,,,,,,,,71,70,,,,,99,
Angola,85,71,55,13,64,94,157,100,95,73,76,76,,,,,32,31,,110
Anguilla,,,178,82,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,194,73,97,95,100,94,88,86,,,,,78,82,,,,107
Argentina,99,99,151,70,72,73,110,110,100,99,98,99,96,96,,,75,77,100,110
Armenia,100,100,115,62,52,53,98,98,96,96,100,99,100,99,,,97,98,99,109
Australia,,,110,88,127,123,102,102,97,97,,,,,,,,,,105
Austria,,,166,84,103,104,104,102,,,,,99,100,,,,,101,106
Azerbaijan,100,100,106,78,24,24,107,106,95,93,69,67,100,95,85,82,,,95,109
Bahamas,,,92,80,,,,,,,,,,,,,,,,108
Bahrain,99,98,217,98,56,55,101,102,96,97,86,87,99,97,90,88,,,97,103
Bangladesh,91,94,78,18,31,31,116,125,,,90,93,,,61,75,51,60,,105
Barbados,,,115,80,83,86,93,94,90,92,100,99,,,80,87,89,89,,107
Belarus,100,100,124,71,106,101,101,101,95,96,93,90,98,99,,,94,97,100,116
Belgium,,,111,87,117,116,104,104,99,99,,,92,95,85,87,,,102,106
Belize,,,64,45,49,50,116,110,97,95,96,97,96,94,70,73,,,98,108
Benin,64,41,80,12,24,24,134,124,100,88,77,72,59,56,49,41,40,34,95,105
Bhutan,90,84,89,42,25,27,97,103,85,87,96,95,78,79,57,67,52,54,101,101
Bolivia (Plurinational State of),99,99,91,40,71,71,98,96,89,88,97,97,96,97,64,66,,,101,108
Bosnia and Herzegovina,100,100,89,69,,,,,,,97,95,96,98,,,94,96,101,107
Botswana,92,96,159,39,18,18,109,106,90,92,,,93,95,46,57,,,103,109
Brazil,98,99,119,60,93,92,117,114,92,93,97,97,,,76,80,,,,110
British Virgin Islands,,,199,38,,,,,,,,,,,,,,,,
Brunei Darussalam,99,100,121,75,71,73,108,108,,,,,98,95,,,,,97,104
