Countries and areas,"HIV incidence per 1,000 uninfected population All ages","HIV incidence per 1,000 uninfected population children <5","HIV incidence per 1,000 uninfected population adolescents 1519",People living with HIV All ages,People living with HIV children <15,People living with HIV adolescents 1019,New HIV infections All ages,New HIV infections children <5,New HIV infections adolescents 1519,AIDSrelated deaths All ages,AIDSrelated deaths children <15,AIDSrelated deaths adolescents 1019,"Pregnant women reciving ARVs for PMTCT (%)
2016*",People living with HIV receiving antiretroviral therapy (ART) (%) All ages,People living with HIV receiving antiretroviral therapy (ART) (%) children <15,People living with HIV receiving antiretroviral therapy (ART) (%) adolescents 1019,Condom use among adolescents with multiple partners (%) male,Condom use among adolescents with multiple partners (%) female,Adolescents tested for HIV in the last 12 months and received results (%) male,Adolescents tested for HIV in the last 12 months and received results (%) female,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,0.03,0.01,0.02,"7,500",<500,<500,"<1,000",<100,<100,<500,<100,<100,5,7,17,16,,,<0.1,1,,104
Albania,0.08,0.04,0.16,"1,700",,,<500,,<100,<100,,,,30,,,,,0,0,101,105
Algeria,0.02,0.01,0.05,"13,000",<500,<500,"<1,000",<100,<200,<200,<100,<100,49,76,>95,77,,,,1,102,103
Andorra,,,,,,,,,,,,,,,,,,,,,99,
Angola,0.94,0.76,0.81,"280,000","23,000","13,000","25,000","3,600","2,400","11,000","2,100",<500,44,22,14,,39,31,4,16,,110
Anguilla,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,100,54,,,,107
Argentina,0.13,0.02,0.28,"120,000","1,200","3,700","5,500",<100,"<1,000","2,400",<100,<100,91,64,>95,,,,,,100,110
Armenia,0.09,<0.01,0.18,"3,300",,,<500,,<100,<200,,,,36,,,,,0,1,99,109
Australia,0.05,<0.01,0.02,"25,000",<100,<100,"1,100",<100,<100,<500,<100,<100,>95,90,93,,,,,,,105
Austria,,,,,,,,,,,,,,,,,,,,,101,106
Azerbaijan,0.10,0.01,0.05,"9,200",<200,<100,"<1,000",<100,<100,<500,<100,<100,75,30,76,36,,,,,95,109
Bahamas,,,,"8,200",,,,,,,,,,28,,,,,,,,108
Bahrain,0.04,0.02,0.02,<500,,,<100,,<100,<100,,,,42,,,,,,,97,103
Bangladesh,0.01,<0.01,<0.01,"12,000",<500,<500,"1,500",<100,<100,"1,000",<100,<100,17,16,39,23,,,,,,105
Barbados,0.58,0.08,0.33,"2,600",,,<200,,<100,<100,,,,46,,,,,,10,,107
Belarus,0.20,0.01,0.13,"19,000",<100,<200,"1,800",<100,<100,<200,<100,<100,92,45,>95,,,,15,15,100,116
Belgium,,,,,,,,,,,,,,,,,,,,,102,106
Belize,0.75,0.46,1.48,"4,300",<200,<500,<500,<100,<100,<200,<100,<100,35,32,64,,,,,14,98,108
Benin,0.34,0.25,0.58,"67,000","6,300","5,100","3,600",<500,"<1,000","2,400",<500,<200,>95,57,32,,43,38,6,7,95,105
Bhutan,,,,,,,,,,,,,,,,,,,,3,101,101
Bolivia (Plurinational State of),0.10,0.01,0.21,"19,000",<500,"<1,000","1,100",<100,<500,"<1,000",<100,<100,68,25,43,40,43,,1,,101,108
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,<0.1,<0.1,101,107
Botswana,5.52,2.30,7.18,"360,000","12,000","17,000","10,000","<1,000","1,400","3,900",<500,<500,>95,83,60,77,,,,,103,109
Brazil,0.24,0.04,0.48,"830,000","11,000","30,000","48,000","<1,000","8,200","14,000","<1,000",<500,89,60,37,32,,,,,,110
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,97,104
Bulgaria,,,,"3,500",,,<500,,,<200,,,,26,,,,,,,100,110
Burkina Faso,0.19,0.18,0.47,"95,000","10,000","12,000","3,400","<1,000","<1,000","3,100",<500,<500,83,60,24,,76,57,4,8,114,102
Burundi,0.20,0.20,0.15,"84,000","12,000","8,100","2,200",<500,<200,"2,900","<1,000",<500,84,61,25,,,,8,13,118,107
Cabo Verde,,,,"2,800",<200,<200,<200,<100,,<100,<100,<100,>95,57,65,40,,,,,101,106
Cambodia,0.04,0.05,0.08,"71,000","4,200","3,300","<1,000",<100,<200,"1,800",<100,<100,75,80,87,,,,3,7,134,106
Cameroon,1.39,1.09,2.41,"560,000","46,000","40,000","32,000","4,000","5,900","29,000","3,200","1,400",74,37,18,,70,52,7,15,104,104
Canada,,,,,,,,,,,,,,,,,,,,,,105
Central African Republic,1.80,0.80,1.51,"130,000","9,200","8,700","8,700","<1,000","<1,000","7,300","<1,000",<500,81,24,18,25,50,28,7,15,96,107
Chad,0.34,0.38,0.38,"110,000","11,000","7,600","4,800","<1,000","<1,000","2,800","<1,000",<500,63,39,14,,,54,2,5,85,105
Chile,0.28,0.08,0.59,"61,000",<500,"2,200","5,000",<100,"<1,000",,,,38,53,35,7,,,,,101,107
China,,,,,,,,,,,,,,,,,,,,,,104
