Countries and areas,Birth registration (%) poorest 20%,Birth registration (%) richest 20%,Birth registration (%) Ratio of richest to poorest,Skilled birth attendant (%) poorest 20%,Skilled birth attendant (%) richest 20%,Skilled birth attendant (%) Ratio of richest to poorest,Stunting prevalence in children under 5 (moderate & severe) poorest 20%,Stunting prevalence in children under 5 (moderate & severe) richest 20%,Stunting prevalence in children under 5 (moderate & severe) Ratio of poorest to richest,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) poorest 20%,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) richest 20%,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of richest to poorest,Primary school net attendance ratio poorest 20%,Primary school net attendance ratio richest 20%,Primary school net attendance ratio Ratio of richest to poorest,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 poorest 20%","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 richest 20%","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of richest to poorest","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 poorest 20%","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 richest 20%","Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 Ratio of richest to poorest",Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,30,70,2.3,24,85,3.6,49,31,1.6,45,42,0.9,59,83,1.4,0,5,23.0,,,,,104
Albania,98,99,1.0,98,100,1.0,27,13,2.1,,,,91,94,1.0,20,60,3.0,10,38,3.8,101,105
Algeria,99,100,1.0,95,99,1.0,3,11,0.2,21,31,1.5,96,98,1.0,4,17,3.8,,,,102,103
Andorra,,,,,,,,,,,,,,,,,,,,,,99,
Angola,10,55,5.7,17,90,5.2,47,7,6.8,29,57,1.9,56,95,1.7,8,58,7.3,10,46,4.8,,110
Anguilla,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,107
Argentina,99,100,1.0,,,,,,,26,6,0.2,98,99,1.0,,54,,,,,100,110
Armenia,98,99,1.0,100,100,1.0,12,6,2.0,,,,99,100,1.0,13,30,2.3,4,23,5.5,99,109
Australia,,,,,,,,,,,,,,,,,,,,,,,105
Austria,,,,,,,,,,,,,,,,,,,,,,101,106
Azerbaijan,92,97,1.1,90,100,1.1,28,16,1.8,3,36,13.3,67,70,1.0,1,12,10.3,2,14,6.3,95,109
Bahamas,,,,,,,,,,,,,,,,,,,,,,,108
Bahrain,,,,,,,,,,,,,,,,,,,,,,97,103
Bangladesh,15,28,1.8,18,74,4.2,50,21,2.4,72,81,1.1,88,93,1.1,2,18,8.9,,,,,105
Barbados,98,99,1.0,,,,8,3,2.4,,,,99,100,1.0,57,66,1.2,,,,,107
Belarus,,,,100,100,1.0,11,2,5.3,,,,93,93,1.0,55,55,1.0,42,43,1.0,100,116
Belgium,,,,,,,,,,,,,,,,,,,,,,102,106
Belize,94,99,1.1,93,99,1.1,26,5,4.8,,,,93,99,1.1,20,53,2.7,,,,98,108
Benin,69,96,1.4,61,91,1.5,46,18,2.6,20,31,1.6,54,92,1.7,15,29,2.0,26,42,1.6,95,105
Bhutan,100,100,1.0,34,95,2.8,41,21,1.9,60,56,0.9,,,,7,32,4.4,,,,101,101
Bolivia (Plurinational State of),68,90,1.3,57,99,1.7,32,9,3.5,18,27,1.5,95,99,1.0,5,40,8.4,11,45,4.3,101,108
Bosnia and Herzegovina,100,99,1.0,100,100,1.0,10,10,1.0,,,,93,94,1.0,37,44,1.2,38,45,1.2,101,107
Botswana,,,,,,,38,20,1.9,,,,,,,,,,,,,103,109
Brazil,,,,,,,7,3,2.1,,,,,,,,,,,,,,110
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,97,104
Bulgaria,,,,,,,,,,,,,,,,,,,,,,100,110
Burkina Faso,62,95,1.5,68,95,1.4,42,19,2.3,38,47,1.2,31,85,2.8,8,37,4.4,,,,114,102
Burundi,64,87,1.4,77,96,1.2,,,,34,38,1.1,,,,,,,,,,118,107
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,101,106
Cambodia,59,87,1.5,75,98,1.3,42,19,2.3,40,27,0.7,86,98,1.1,27,55,2.1,28,63,2.2,134,106
Cameroon,38,92,2.4,21,98,4.7,42,15,2.9,9,37,4.3,65,99,1.5,12,50,4.0,,,,104,104
Canada,,,,,,,,,,,,,,,,,,,,,,,105
Central African Republic,46,85,1.8,18,79,4.3,45,30,1.5,11,28,2.5,57,90,1.6,12,21,1.7,19,29,1.5,96,107
Chad,6,39,6.5,11,58,5.3,41,32,1.3,14,30,2.2,44,76,1.7,6,18,2.9,,,,85,105
Chile,,,,,,,,,,,,,,,,,,,,,,101,107
China,,,,,,,,,,,,,,,,,,,,,,,104
Colombia,96,98,1.0,86,99,1.2,19,7,2.9,47,61,1.3,93,96,1.0,15,32,2.2,,,,106,110
Comoros,85,93,1.1,66,93,1.4,38,22,1.7,39,36,0.9,72,95,1.3,,,,,,,121,105
Congo,80,99,1.2,78,99,1.3,35,9,3.7,22,37,1.7,,,,5,12,2.4,12,27,2.3,,105
Cook Islands,,,,,,,,,,,,,,,,,,,,,,94,
