Countries and areas,Low birthweight     (%) U 2011-2016*,Early initiation of breastfeeding (%) 2011-2016*,Exclusive breastfeeding <6 months  (%) 2011-2016*,"Introduction to solid, semi-solid or soft foods 6-8 months (%) 2011-2016*",Minimum acceptable diet 6-23 months (%) 2011-2016*,Breastfeeding at age 2 (%) 2011-2016*,Stunting (%) moderate & severe 2011-2016*,Overweight (%) moderate & severe2011-2016*,Wasting (%) moderate & severe 2011-2016*,Wasting (%) severe 2011-2016*,"Vitamin A supplementation, full coverageΔ (%) 2015",Households consuming salt with iodine (%) 20112016*,Survival rate to the last grade of primary: females as a % of males,Life expectancy: females as a % of males
Afghanistan,,41,43,61,16,59,41,5,10,4,98,57,,104
Albania,,43,39,78,,31,23,23,9,6,,91,101,105
Algeria,6,36,26,28,,27,12,12,4,1,,81,102,103
Andorra,,,,,,,,,,,,,99,
Angola,12,48,38,,13,42,38,3,5,1,14,82,,110
Anguilla,,,,,,,,,,,,,,
Antigua and Barbuda,6,,,,,,,,,,,,,107
Argentina,7,53,33,93,,29,8,10,1,0,,,100,110
Armenia,8,41,45,90,24,22,9,14,4,2,,99,99,109
Australia,6,,,,,,2,8,0,0,,,,105
Austria,7,,,,,,,,,,,,101,106
Azerbaijan,10,20,12,77,22,16,18,13,3,1,96,94,95,109
Bahamas,12,,,,,,,,,,,,,108
Bahrain,10,,,,,,,,,,,,97,103
Bangladesh,22,51,55,65,23,87,36,1,14,3,99,69,,105
Barbados,12,40,20,,,,8,12,7,2,,37,,107
Belarus,5,53,19,64,,12,5,10,2,1,,,100,116
Belgium,7,,,,,,,,,,,,102,106
Belize,11,68,33,79,,35,15,7,2,1,,85,98,108
Benin,15,47,41,73,14,46,34,2,5,1,95,69,95,105
Bhutan,10,78,51,87,,61,34,8,6,2,,,101,101
Bolivia (Plurinational State of),6,78,64,83,,40,18,9,2,1,,85,101,108
Bosnia and Herzegovina,5,42,19,71,,12,9,17,2,2,,,101,107
Botswana,13,40,20,,,6,31,11,7,3,57,83,103,109
Brazil,9,43,39,94,,26,7,7,2,0,,98,,110
British Virgin Islands,,,,,,,,,,,,,,
Brunei Darussalam,12,,,,,,20,8,3,0,,,97,104
Bulgaria,9,,,,,,9,14,3,1,,92,100,110
Burkina Faso,14,42,50,59,3,80,27,1,8,1,99,92,114,102
Burundi,13,74,83,70,10,81,56,1,5,1,71,87,118,107
Cabo Verde,6,73,60,,,13,,,,,,,101,106
Cambodia,11,63,65,82,30,37,32,2,10,2,63,68,134,106
Cameroon,11,31,28,83,17,19,32,7,5,1,99,86,104,104
Canada,6,,,,,,,10,,,,,,105
Central African Republic,14,44,34,59,,32,41,2,7,2,3,77,96,107
Chad,20,23,0,59,6,65,40,3,13,4,85,77,85,105
Chile,6,,,,,,2,9,0,,,,101,107
China,,41,21,60,,9,8,7,2,1,,96,,104
Colombia,10,57,43,86,60,33,13,5,1,0,,,106,110
Comoros,25,34,12,81,6,57,32,11,11,4,12,82,121,105
Congo,13,25,33,84,6,11,21,6,8,3,99,90,,105
Cook Islands,,,,,,,,,,,,,94,
Costa Rica,7,60,33,86,,28,6,8,1,,,,101,106
Côte d'Ivoire,17,31,12,64,5,38,30,3,8,2,72,82,95,106
Croatia,5,,,,,,,,,,,,99,109
Cuba,5,48,33,91,56,24,7,,2,,,,100,105
Cyprus,12,,,,,,,,,,,,99,106
Czechia,8,,,,,,3,4,5,1,,,100,108
Democratic People's Republic of Korea,6,28,69,66,,22,28,0,4,1,99,,,110
Democratic Republic of the Congo,10,52,48,79,8,66,43,4,8,3,94,82,99,105
Denmark,5,,,,,,,,,,,,100,105
Djibouti,10,55,1,35,,18,34,8,22,9,72,4,88,105
Dominica,11,,,,,,,,,,,,95,
Dominican Republic,11,38,5,81,45,12,7,8,2,1,,30,105,109
Ecuador,9,55,40,74,,19,25,8,2,1,,,102,107
Egypt,13,27,40,77,23,20,22,16,10,5,,93,,106
El Salvador,9,42,47,90,67,57,14,6,2,0,,,105,113
Equatorial Guinea,13,21,7,76,11,5,26,10,3,2,,57,100,105
Eritrea,14,93,69,40,,73,50,2,15,4,51,72,103,107
Estonia,5,,,,,,,,,,,,101,113
Ethiopia,20,73,58,60,7,76,38,3,10,3,74,86,105,106
Fiji,10,57,40,,,,8,5,6,2,,,98,109
Finland,4,,,,,,,,,,,,100,107
France,7,,,,,,,,,,,,,108
Gabon,14,32,6,82,5,4,18,8,3,1,,90,,105
Gambia,10,52,47,47,8,42,25,3,11,4,27,69,106,104
Georgia,7,69,55,85,,17,11,20,2,1,,,100,112
Germany,7,,,,,,1,4,1,0,,,100,106
Ghana,11,56,52,73,13,50,19,3,5,1,28,57,97,103
Greece,10,,,,,,,,,,,,100,107
Grenada,9,,,,,,,,,,,,,107
Guatemala,11,63,53,,52,57,47,5,1,0,15,,99,109
Guinea,12,17,21,43,4,66,31,4,10,4,69,61,97,102
Guinea-Bissau,11,34,53,71,8,51,28,2,6,1,87,26,,106
Guyana,14,49,23,81,40,41,12,5,6,2,,43,105,107
Haiti,23,47,40,87,14,31,22,4,5,1,21,16,,107
Holy See,,,,,,,,,,,,,,
Honduras,10,64,31,70,54,43,23,5,1,0,,,110,107
Hungary,9,,,,,,,,,,,,100,110
Iceland,4,,,,,,,,,,,,102,104
India,28,42,55,52,10,67,38,2,21,8,53,93,99,105
Indonesia,9,49,42,91,37,55,36,12,14,7,82,92,,106
Iran (Islamic Republic of),8,69,53,76,,51,7,,4,1,,,99,103
Iraq,13,43,20,36,,23,23,12,7,4,,55,,107
Ireland,5,,,,,,,,,,,,,105
