,Country,% Internet Use,% Women in Govt,G to B in Primary Ed,G to B Secondary Education,G to B Tertiary Education,Population mid-year estimates (millions),Population mid-year estimates for males (millions),Population mid-year estimates for females (millions),Sex ratio (males per 100 females),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Surface area (thousand km2),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP in constant 2010 prices (millions of US dollars),GDP real rates of growth (percent),Survival rate to the last grade of primary: females as a % of males
0,Afghanistan,11.4,27.7,,,,33.74,17.39,16.35,106.4,44.5,4.0,51.7,653,"20,608",611,"20,890",-1.8,
1,Albania,71.8,27.9,0.97,0.93,1.58,2.92,1.48,1.45,102.0,18.0,17.8,106.7,29,"11,387","3,895","13,033",2.2,101.33484762756015
2,Algeria,47.7,25.8,0.95,,1.67,39.87,20.13,19.74,102.0,28.7,8.9,16.7,"2,382","165,979","4,163","189,797",3.7,101.75141326155898
3,Andorra,98.9,32.1,,,,0.08,,,101.7,,,166.0,0,"2,812","36,040","3,258",0.8,99.11006849571751
4,Angola,14.3,30.5,,,,27.86,13.65,14.21,96.1,47.1,3.9,22.3,"1,247","116,194","4,171","104,520",0.9,
5,Anguilla,81.6,,,,,0.01,,,,,,162.3,0,331,"22,622",281,3.1,
6,Antigua and Barbuda,76.0,11.1,,,,0.10,0.05,0.05,92.2,24.6,10.1,227.1,0,"1,359","13,602","1,270",4.0,
7,Argentina,75.8,38.9,,,,43.42,21.25,22.17,95.8,25.2,15.1,15.9,"2,780","644,903","14,853","458,903",2.7,100.4042753757143
8,Armenia,69.7,18.1,1.01,,1.27,2.92,1.37,1.55,88.7,19.8,15.8,102.5,30,"10,553","3,618","12,236",3.2,98.66097638848159
9,Australia,86.5,28.7,1.00,0.87,1.43,23.80,11.86,11.94,99.4,18.8,20.4,3.1,"7,692","1,246,800","52,388","1,493,121",2.8,
10,Austria,87.9,34.4,0.99,0.96,1.19,8.68,4.25,4.43,95.9,14.1,24.3,105.3,84,"381,806","43,994","413,555",1.1,100.8925291180339
11,Azerbaijan,79.0,16.8,0.99,,1.19,9.62,4.79,4.83,99.1,22.9,9.3,116.4,87,"53,076","5,519","58,515",1.0,95.23217996115146
12,Bahamas,85.0,12.8,1.05,1.06,,0.39,0.19,0.20,95.9,20.7,12.6,38.6,14,"11,240","29,056","9,967",-3.1,
13,Bahrain,95.9,7.5,1.02,1.01,1.87,1.37,0.85,0.53,161.3,20.8,4.1,"1,805.1",1,"31,126","22,689","30,781",2.9,97.38880332152299
14,Bangladesh,18.0,20.3,1.06,1.10,0.70,161.20,81.34,79.86,101.9,29.4,7.1,"1,238.4",148,"194,466","1,206","155,582",6.6,
15,Barbados,81.8,16.7,1.01,1.05,,0.28,0.14,0.15,92.0,19.4,19.8,661.0,0,"4,463","15,704","4,448",0.9,
16,Belarus,74.4,34.5,1.00,0.98,1.29,9.49,4.41,5.07,87.0,16.1,20.4,46.7,208,"56,455","5,952","60,712",-3.8,100.33817488949683
17,Belgium,87.7,38.0,,,,11.29,5.55,5.74,96.7,17.0,24.0,372.8,31,"455,838","40,383","509,186",1.7,102.40044987458252
18,Belize,47.1,9.4,0.95,1.01,1.62,0.36,0.18,0.18,99.4,32.5,5.9,15.8,23,"1,779","4,950","1,611",3.8,97.63503638967643
19,Benin,14.1,7.2,,,0.43,10.58,5.27,5.31,99.3,43.0,5.0,93.8,115,"8,454",799,"9,108",6.5,95.039065750222
20,Bhutan,48.1,8.5,1.01,1.10,,0.79,0.42,0.37,113.4,27.4,6.9,20.7,38,"2,059","2,615","2,069",6.6,101.44834881795603
21,Bosnia and Herzegovina,69.5,21.4,,,,3.54,1.74,1.80,96.4,14.5,22.4,69.3,51,"16,210","4,584","18,351",3.1,101.1764883903727
22,Botswana,41.4,9.5,,,1.43,2.21,1.09,1.12,97.7,31.8,6.1,3.9,582,"14,421","6,528","16,146",-1.7,102.91310802587685
23,Brazil,67.5,10.7,,,,205.96,101.28,104.68,96.8,22.5,11.9,24.6,"8,516","1,802,212","8,750","2,331,897",-3.8,
24,Brunei Darussalam,94.9,9.1,0.99,1.01,1.60,0.42,0.22,0.20,106.3,23.7,7.1,79.2,6,"12,930","30,968","13,639",-0.4,97.45890678453218
25,Bulgaria,63.4,23.8,0.99,0.97,1.25,7.18,3.49,3.69,94.7,14.0,27.1,66.1,111,"50,201","6,994","54,636",3.5,100.06691870979478
26,Burkina Faso,15.9,11.0,0.98,0.95,0.51,18.11,9.02,9.09,99.2,45.6,3.8,66.2,273,"10,416",575,"11,688",3.9,113.61021414447863
27,Burundi,5.6,36.4,1.01,0.97,,10.20,5.02,5.18,96.7,44.8,4.2,397.2,28,"2,811",276,"2,404",-0.4,118.21239812081761
28,Cabo Verde,57.2,23.6,0.93,1.10,1.45,0.53,0.27,0.27,99.2,31.2,6.7,132.2,4,"1,596","2,995","1,792",1.0,101.20030585966838
29,Cambodia,34.0,20.3,0.97,,,15.52,7.57,7.95,95.2,31.6,6.8,87.9,181,"18,050","1,163","15,904",7.0,134.02877583134335
30,Cameroon,23.2,31.1,0.90,0.86,,22.83,11.42,11.41,100.1,43.0,4.8,48.3,476,"30,905","1,353","33,558",5.7,103.83321769031637
31,Canada,92.7,27.0,1.00,1.01,,35.95,17.83,18.12,98.4,16.0,22.4,4.0,"9,985","1,552,523","43,186","1,802,512",1.0,
32,Central African Republic,4.3,8.6,0.76,0.64,,4.55,2.24,2.30,97.3,43.7,5.5,7.3,623,"1,632",359,"1,431",4.8,95.78546585939276
33,Chad,6.5,12.8,0.78,0.46,,14.01,7.01,7.00,100.2,47.6,4.0,11.1,"1,284","11,733",838,"13,101",3.8,85.42612039682601
34,Chile,82.3,,0.97,1.01,1.14,17.76,8.80,8.97,98.1,20.8,15.2,23.9,756,"243,999","13,737","264,555",2.3,100.68430872931333
35,China,54.3,24.2,1.01,,1.21,"1,397.03",719.76,677.27,106.3,17.7,15.4,148.8,"9,600","11,064,687","7,920","8,908,435",6.9,
36,Colombia,62.3,18.7,0.97,1.06,1.16,48.23,23.74,24.49,97.0,24.3,10.8,43.5,"1,142","291,520","6,045","359,120",3.1,105.95660522479227
37,Comoros,8.5,6.1,,,,0.78,0.39,0.39,101.7,40.1,4.7,417.7,2,988,"1,271","1,179",2.0,120.70595278333596
38,Congo,8.7,11.3,,,,5.00,2.50,2.50,100.1,42.4,5.1,14.6,342,"11,092","2,220","14,081",-13.2,
39,Cook Islands,54.0,,0.94,1.06,,0.02,,,,,,72.7,0,285,"16,350",293,3.8,93.72778174034832
40,Costa Rica,71.6,35.1,1.01,1.05,1.24,4.81,2.41,2.40,100.1,22.3,12.8,94.2,51,"54,776","11,393","44,694",3.6,101.48955693047874
41,Croatia,67.1,18.5,1.01,1.05,1.38,4.24,2.04,2.20,93.0,14.8,25.8,75.7,57,"49,519","11,690","59,343",2.4,99.39667699577669
42,Cuba,49.1,48.9,,,1.41,11.46,5.74,5.73,100.2,16.3,19.4,107.7,110,"87,206","7,609","73,869",4.4,100.47914813213792
43,Cyprus,80.7,17.9,,,,1.16,0.58,0.58,100.3,16.9,17.7,125.6,9,"19,681","23,236","23,627",2.0,98.82407636887446
44,Czechia,78.7,22.0,,,,10.60,5.21,5.39,96.6,15.1,24.9,137.3,79,"186,830","17,619","225,493",5.3,100.1824729181547
45,Denmark,97.1,37.4,0.99,1.03,1.36,5.69,2.83,2.86,98.9,16.8,24.8,134.1,43,"302,673","53,206","343,294",2.3,100.32409284571366
46,Djibouti,55.7,10.8,0.89,0.82,,0.93,0.47,0.46,100.8,32.0,6.2,40.0,23,"1,634","1,762","1,394",9.7,88.09920280746788
47,Dominica,69.6,25.0,0.97,,,0.07,,,,,,97.5,1,541,"7,392",495,-2.6,95.46715725455525
48,Dominican Republic,65.0,26.8,0.92,1.10,1.79,10.53,5.25,5.28,99.3,30.0,9.7,217.9,49,"68,802","6,535","68,042",7.0,105.35527712851425
49,Ecuador,57.3,38.0,1.00,1.04,,16.14,8.07,8.07,100.0,29.0,9.9,65.0,257,"99,290","6,150","86,419",0.1,102.11328170270477
50,Egypt,45.0,14.9,1.00,0.98,1.02,93.78,47.41,46.37,102.2,33.1,7.7,94.2,"1,002","317,745","3,388","245,076",4.4,
51,El Salvador,31.3,32.1,0.96,1.00,1.12,6.31,2.97,3.34,88.9,28.3,11.1,304.7,21,"23,166","3,670","20,318",2.4,104.67179879482778
52,Equatorial Guinea,26.2,20.0,,,,1.18,0.65,0.53,123.0,37.4,4.6,41.9,28,"13,176","11,209","16,457",-9.1,99.85233542418575
53,Eritrea,1.3,22.0,,,0.71,4.85,2.43,2.42,100.4,42.3,5.3,48.0,118,"4,442",916,"2,719",2.6,103.38675225846931
54,Estonia,88.1,26.7,,,,1.32,0.62,0.70,87.9,16.1,25.1,31.0,45,"22,567","17,157","23,341",1.7,100.70266570293047
55,Ethiopia,18.6,38.8,,,,99.87,49.86,50.01,99.7,41.6,5.2,99.9,"1,104","63,079",632,"43,538",10.4,105.22449401566239
56,Fiji,50.0,16.0,,,,0.89,0.45,0.44,103.4,28.7,9.3,48.8,18,"4,362","4,890","3,756",3.8,98.32581481881905
57,Finland,87.5,42.0,1.00,1.10,1.19,5.48,2.70,2.78,96.9,16.4,27.1,18.0,338,"232,465","42,405","247,409",0.1,100.23180740993574
58,France,80.5,39.0,,,,64.46,31.67,32.78,96.6,18.3,25.0,117.7,552,"2,438,208","36,574","2,781,288",1.1,
59,Gabon,50.3,17.1,,,,1.93,0.99,0.94,105.7,35.8,6.4,7.5,268,"14,372","7,446","18,527",3.9,
60,Gambia,19.8,10.3,1.08,,,1.98,0.98,1.00,98.0,45.7,3.8,195.4,11,"1,394",705,"1,603",5.9,105.57595177178989
61,Georgia,60.5,16.0,1.00,1.02,1.15,3.95,1.89,2.07,91.3,18.7,20.3,56.9,70,"13,993","3,541","14,768",2.9,100.06989761595908
62,Germany,84.4,30.7,,,,81.71,40.19,41.52,96.8,13.1,27.3,234.4,357,"3,381,389","41,384","3,718,482",1.7,99.56215806203592
63,Ghana,37.9,12.7,1.02,0.97,0.72,27.58,13.72,13.86,99.0,38.8,5.2,121.2,239,"49,182","1,783","59,891",2.2,96.69939907029695
