Countries and Areas,Under 5 Mortality Rank,Under5 mortality rate  1990,Under5 mortality rate 2016,Under5 mortality rate by sex 2016 male,Under5 mortality rate by sex 2016 female,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2016,Neonatal  mortality rate 2016,Total population (thousands) 2016,Annual number of births (thousands) 2016,Annual number of under5 deaths (thousands) 2016,Life expectancy at birth (years) 2016,Total adult literacy rate  (%) 2011−2016*,Primary school net enrolment ratio (%) 2011−2016*,Low birthweight     (%) U 2011-2016*,Early initiation of breastfeeding (%) 2011-2016*,Exclusive breastfeeding 6 months  (%) 2011-2016*,"Introduction to solid, semi-solid or soft foods 6-8 months (%) 2011-2016*",Minimum acceptable diet 6-23 months (%) 2011-2016*,Breastfeeding at age 2 (%) 2011-2016*,Stunting (%) moderate & severe 2011-2016*,Overweight (%) moderate & severe2011-2016*,Wasting (%) moderate & severe 2011-2016*,Wasting (%) severe 2011-2016*,"Vitamin A supplementation, full coverageΔ (%) 2015",Households consuming salt with iodine (%) 20112016*,Life expectancy: females as a % of males,Adult literacy rate: females as a % of males,"Enrolment ratios: 
females as a % of males Primary GER","Enrolment ratios: 
females as a % of males Secondary GER",Survival rate to the last grade of primary: females as a % of males, Demand for family planning satisfied with modern methods (%) ,Antenatal care (%) At least one visit,Antenatal care (%) At least four visits,Delivery care (%) Skilled birth attendant,Delivery care (%) Institutional delivery,Delivery care (%) Csection,Postnatal health check (%)+ For newborns,Postnatal health check (%)+For mothers,Maternal mortality ratio† Reported,Maternal mortality ratio† Adjusted,Lifetime risk of maternal death (1 in:),Use of basic drinking water services (%) total,Use of basic drinking water services (%) urban,Use of basic drinking water services (%)rural,Use of basic sanitation services (%) total,Use of basic sanitation services (%)urban,Use of basic sanitation services (%) rural,BCG,DTP1β,DTP3β,polio3,MCV1,MCV2^,HepB3,Hib3,rota,PCV3,Protection at birth (PAB) against tetanusλ ,Care seeking for children with symptoms of pneumonia                (%),Treatment with oral rehydration salts (ORS) (%),Care seeking for children with fever           (%),Children sleeping under ITNs             (%),Households with at least one ITN        (%),"HIV incidence per 1,000 uninfected population All ages","HIV incidence per 1,000 uninfected population children <5","HIV incidence per 1,000 uninfected population adolescents 1519",People living with HIV All ages,People living with HIV children <15,People living with HIV adolescents 1019,New HIV infections All ages,New HIV infections children <5,New HIV infections adolescents 1519,AIDSrelated deaths All ages,AIDSrelated deaths children <15,AIDSrelated deaths adolescents 1019,"Pregnant women reciving ARVs for PMTCT (%)
2016*",People living with HIV receiving antiretroviral therapy (ART) (%) All ages,People living with HIV receiving antiretroviral therapy (ART) (%) children <15,People living with HIV receiving antiretroviral therapy (ART) (%) adolescents 1019,Condom use among adolescents with multiple partners (%) male,Unnamed: 82,Condom use among adolescents with multiple partners (%) female,Unnamed: 84,Youth (1524 years) literacy rate (%) male,Youth (1524 years) literacy rate (%) female,Number per 100 population  mobile phones,Number per 100 population  internet users,Pre-primary school participation (%) male,Pre-primary school participation (%) female,Primary school participation Gross enrollment ratio (%) male,Primary school participation Gross enrollment ratio (%) female,Primary school participation Net enrollment ratio (%) male,Primary school participation Net enrollment ratio (%) female,Primary school participation Net attendance ratio (%) male,Primary school participation Net attendance ratio (%) female,Survival rate to last primary grade (%) male,Survival rate to last primary grade (%)  female,Lower secondary school participation Net enrollment ratio (%) male,Lower secondary school participation Net enrollment ratio (%) female,Lower secondary school participation Net attendance ratio (%) male,Lower secondary school participation Net attendance ratio (%) female,Population (thousands) total,Population (thousands) under 18,Population (thousands) under 5,Population annual growth rate (%) 1990-2016,Population annual growth rate (%) 2016-2030α,Crude death rate 1970,Crude death rate 1990,Crude death rate 2016,Crude birth rate 1970,Crude birth rate 1990,Crude birth rate 2016,Life expectancy 1970,Life expectancy 1990,Life expectancy 2016,Total fertility rate 2016,Urbanized population (%) 2016,Average annual growth rate of urban population (%) 1990-2016,Average annual growth rate of urban population (%) 2016-2030α,Child labour (%)+  total,Child labour (%)+  male,Child labour (%)+ female,Child marriage (%) married by 15,Child marriage (%) married by 18,Birth registration (%),Female genital mutilation/cutting (%) prevalence women,Female genital mutilation/cutting (%) prevalence girls,Female genital mutilation/cutting (%) support for the practice,Justification of wife-beating (%) male,Justification of wife-beating (%) female,Violent discipline (%) total,Violent discipline (%) male,Violent discipline (%) female,Adolescent population Aged 10-19 (thousands),Adolescent population Proportion of total population (%),Adolescents currently married/ in union male,Adolescents currently married/ in union female,Births by age 18 (%),Adolescent birth rate,Justification of wife-beating among adolescents  male,Justification of wife-beating among adolescents female,Use of mass media among adolescents (%) male,Use of mass media among adolescents (%) female,Lower secondary school gross enrolment ratio,Upper secondary school gross enrolment ratio,Comprehensive knowledge of HIV among adolescents (%) male,Comprehensive knowledge of HIV among adolescents (%) female,Birth registration (%) Urban,Birth registration (%) Rural,Birth registration (%) Ratio of urban to rural,Skilled birth attendant (%) Urban,Skilled birth attendant (%)  Rural,Skilled birth attendant (%) Ratio of urban to rural,Stunting prevalence in children under 5 (moderate & severe) Urban,Stunting prevalence in children under 5 (moderate & severe) Rural,Stunting prevalence in children under 5 (moderate & severe) Ratio of rural to urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Rural,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of urban to rural,Primary school net attendance ratio Urban,Primary school net attendance ratio Rural,Primary school net attendance ratio Ratio of urban to rural,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Urban","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Rural","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of urban to rural",Use of basic sanitation services (%)  Urban,Use of basic sanitation services (%)  Rural,Use of basic sanitation services (%) Ratio of urban to rural,Birth registration (%) poorest 20%,Unnamed: 171,Birth registration (%) richest 20%,Unnamed: 173,Birth registration (%) Ratio of richest to poorest,Unnamed: 175,Skilled birth attendant (%) poorest 20%,Unnamed: 177,Skilled birth attendant (%) richest 20%,Unnamed: 179,Skilled birth attendant (%) Ratio of richest to poorest,Unnamed: 181,Stunting prevalence in children under 5 (moderate & severe) poorest 20%,Unnamed: 183,Stunting prevalence in children under 5 (moderate & severe) richest 20%,Unnamed: 185,Stunting prevalence in children under 5 (moderate & severe) Ratio of poorest to richest,Unnamed: 187,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) poorest 20%,Unnamed: 189,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) richest 20%,Unnamed: 191,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of richest to poorest,Unnamed: 193,Primary school net attendance ratio poorest 20%,Unnamed: 195,Primary school net attendance ratio richest 20%,Unnamed: 197,Primary school net attendance ratio Ratio of richest to poorest,Unnamed: 199,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 poorest 20%",Unnamed: 201,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 richest 20%",Unnamed: 203,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of richest to poorest",Unnamed: 205,"Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 poorest 20%",Unnamed: 207,"Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 richest 20%",Unnamed: 209,"Comprehensive knowledge of HIV/AIDS (%)
Males 15-24 Ratio of richest to poorest",Unnamed: 211,Attendance in early childhood education total,Attendance in early childhood education male,Attendance in early childhood education female,Attendance in early childhood education poorest 20%,Attendance in early childhood education richest 20%,Adult support for learning total,Adult support for learning male,Adult support for learning female,Adult support for learning poorest 20%,Adult support for learning richest 20%,"Father's support for learning++
20052016*",Learning materials at home (books) total,Learning materials at home (books) poorest 20%,Learning materials at home (books) richest 20%,Learning materials at home (playthings) total,Learning materials at home (playthings) poorest 20%,Learning materials at home (playthings) richest 20%,Children with inadequate supervision total,Children with inadequate supervision male,Children with inadequate supervision female,Children with inadequate supervision poorest 20%,Children with inadequate supervision richest 20%
Burkina Faso,16,199,85,89,80,99,53,26,18646.433,715.598,60,60.361,34.5994,69.09631,14.1,41.6,50.1,59,3,80.1,27.3,1.2,7.6,1.4,99,92.0633774080909,102.263857681066,59.082,95.7726847385738,91.912,113.610214144479,44.2,92.8,47.2,79.8,82.2,3.7,33.4,74.1,330,371,48,53.85759551611,78.8662459514879,43.211421475963,22.5320811837064,47.7248285995232,11.8075371211912,98,95,91,91,88,50,91,91,91,91,92,51.8,39.5,61.4,75.3,89.8,0.18824,0.17826,0.4686,95000,10000,12000,3400,1000,1000,3100,500,500,83,60,24,,76.4,,57.3,,56.99489,43.98583,83.627631726886,13.96,4.14802,4.13654,89.8743,86.07503,70.89596,67.2623,53.7,50,62.23135,70.70117,26.55181,26.36495,18.8,17.2,18646.433,9723.729,3220.646,2.88326949251413,2.74463440882786,24.653,17.005,8.568,47.464,47.417,38.92,39.095,49.454,60.361,5.353,30.688,5.90604276516167,4.68784190223332,39.2,42.3,36,10.2,51.6,76.9,75.8,13.3,9.3,34.1,43.5,82.7,83.8,81.5,4306.167,23.0937842106316,1.6,31.5,28.2,136,40.2,38.8,61.2,55.1,47.05704,13.42066,30.9,28.8,92.9,73.6,1.26222826086957,95,77.2,1.23056994818653,21.3,37.3,1.75117370892019,45.8,38.3,1.19582245430809,82.7,45.3,1.82560706401766,45.5,24.2,1.8801652892562,47.7248285995232,11.8075371211912,4.04189528346859,62,,95.2,,1.53548387096774,,67.5,,94.7,,1.40296296296296,,41.9,x,18.6,x,2.25268817204301,x,38.4,,47,,1.22395833333333,,30.8,,85.2,,2.76623376623377,,8.4,x,36.9,x,4.39285714285714,x,,,,,,,2.9,2.9,2.9,,,14.1,13.9,14.3,11.7,25.7,24.4,,,,,,,,,,,
Burundi,23,170,72,77,66,103,48,24,10524.117,437.227,31,57.481,61.56973,94.14828,12.9,73.6,83.1,69.7,10,81.4,55.9,1.4,5.1,0.9,71,87.200668378903,107.161380410932,78.435,101.166619900782,91.072,118.212398120818,32.6,99.2,49.3,85.1,83.9,4,7.5,48.8,500,712,23,55.9341198142855,88.1735153999903,51.5140932905503,50.4603170659462,46.0781480367476,51.0611131723452,93,97,94,94,93,72,94,94,96,94,85,62.5,35.6,69.1,39.9,46.1,0.19519,0.20277,0.14505,84000,12000,8100,2200,500,200,2900,1000,500,84,61,25,,,,,,85.29008,74.95891,48.0406532210983,5.17362677652886,12.50718,12.7534,123.05979,124.49543,93.29701,94.98968,85.2,84.1,40.86458,48.307,20.86544,24.79265,12.1,10.6,10524.117,5372.354,1901.345,2.55546140030735,2.9019114908287,20.772,18.108,10.788,47.263,50.312,42.248,43.829,48.053,57.481,5.697,12.359,5.25486352344119,5.13731635782618,26.3,25.5,27.1,2.5,20.4,75.2,,,,44.3,72.9,,,,2243.055,21.3134745651345,1.4,8.6,11,65,55.8,73.9,83,69.4,54.4397,25.46916,50.2,46.3,86.6,74.1,1.16869095816464,96,84,1.14404761904762,27.8,58.8,2.11510791366906,29.5,36,0.819444444444444,90.7,84.1,1.07847800237812,61.3,51,1.20196078431373,46.0781480367476,51.0611131723452,0.90241174102925,63.8,,86.5,,1.35579937304075,,77.4,,95.5,,1.23385012919897,,,,,,,,33.9,,37.9,,1.11799410029499,,,,,,,,,,,,,,,,,,,,4.7,4.6,4.8,3.9,9.7,34.4,35.3,33.6,31.6,38.4,19.6,,,,,,,,,,,
Cambodia,68,116,31,34,27,85,26,16,15762.37,367.57,11,68.981,73.90003,94.92511,11.3,62.6,65.2,82,30.4,37.1,32.4,2,9.6,2.3,63,68.4,106.161807624033,79.673,99.2857022049082,,134.028775831343,56.4,95.3,75.6,89,83.2,6.3,78.8,90.3,170,161,210,74.9707956520782,95.7154551088079,69.5481437111394,48.8254492739503,88.026735657694,38.5782368702226,97,92,90,87,81,58,90,90,0,87,93,68.8,35.2,60.6,4,5,0.04311,0.05439,0.08367,71000,4200,3300,1000,100,200,1800,100,100,75,80,87,,,,,,88.35612,85.86868,124.943845700161,25.5706867985604,17.3823,18.53925,117.06882,116.2326,93.67149,96.2178,91.7632833163029,93.9130988940166,40.76685,54.63931,43.52207,48.75106,47.1,54,15762.37,5854.168,1761.246,2.16679719962204,1.25798955207549,19.886,12.678,6.055,43.026,42.357,23.296,41.566,53.595,68.981,2.56,20.945,3.32035837405793,2.74094634342328,19.3,19.8,18.8,1.9,18.5,73.3,,,,26.5,50.4,,,,3052.385,19.3650130024863,3,15.6,7,57,26.4,45.9,76.6,73.7,62.71479,,42.4,32.7,84.4,71.6,1.17877094972067,97.8,87.6,1.11643835616438,23.7,33.8,1.42616033755274,30.2,36.1,0.836565096952909,96.93639607007,92.243947221582,1.05086999190544,55,33.3,1.65165165165165,88.026735657694,38.5782368702226,2.28177186930073,59.1,,86.6,,1.46531302876481,,75.2,,98.4,,1.30851063829787,,41.9,,18.5,,2.26486486486486,,39.8,,26.7,,0.670854271356784,,86.2636841521246,,97.8494095773075,,1.13430594275051,,26.6,,54.9,,2.06390977443609,,28.2,,62.7,,2.22340425531915,,14.5,11.9,17.1,6.6,38.1,59.3,56.5,62.2,48.2,73.1,8.6,3.9,1,11.9,33.7,19.6,53,9.8,10.1,9.6,15.6,4.4
Cameroon,19,143,80,85,74,89,53,24,23439.189,842.102,66,58.073,71.29051,91.98906,11,31.2,28.2,82.7,16.6,18.5,31.7,6.7,5.2,1.3,99,85.9,104.21468846413,82.729,89.6581596804357,85.561,103.833217690316,40.1,82.8,58.8,64.7,61.3,2.4,68.5,65,780,596,35,65.2799662849759,83.6826400169498,43.3427076817958,38.8349851336722,55.5648972810288,18.8917739171747,70,92,85,83,78,0,85,85,80,84,85,28.1,15.8,32.9,54.8,70.9,1.39374,1.09423,2.40565,560000,46000,40000,32000,4000,5900,29000,3200,1400,74,37,18,,69.6,,52,,85.39748,76.42093,68.1138360506963,25,37.59633,38.0736,123.47812,110.70821,96.58678,87.33236,87.3,83.5,64.59534,67.07142,43.75122,39.74047,51.4,49.4,23439.189,11577.595,3804.254,2.66738724894653,2.43915112512991,19.307,14.773,10.076,44.86,44.693,36.3,46.104,52.209,58.073,4.708,54.938,3.89340525447449,3.1562290711564,47,49.8,44.3,10.2,31,66.1,1.4,0.7,6.6,39,36.1,85,85.2,84.8,5206.178,22.2114254891669,0.9,20.1,27.5,128,44.9,36.5,79.5,63.6,68.05558,43.40916,29.8,25.7,84.2,53.1,1.58568738229755,87.9,48.8,1.80122950819672,22.8,38,1.66666666666667,24.4,11.7,2.08547008547009,93.8,79,1.1873417721519,36.9,17.8,2.07303370786517,55.5648972810288,18.8917739171747,2.94122179974397,38,,92.2,,2.42631578947368,,21,,97.9,,4.66190476190476,,41.6,,14.5,,2.86896551724138,,8.6,,36.7,,4.26744186046512,,65.3,,98.9,,1.5145482388974,,12.4,x,49.8,x,4.01612903225806,x,,,,,,,27.6,26.6,28.7,2.2,66.3,44.3,44.6,44,50.2,52.2,3.7,4,0,16.9,52.5,46.8,64.9,34.4,33.9,35,52.2,22.9
Colombia,106,35,15,17,14,29,13,9,48653.419,746.404,11,74.381,94.24505,90.60457,9.5,56.6,42.8,85.5853558141613,59.6,32.5,12.7,4.8,0.9,0.2,,,110.131042680856,100.375,96.6776261221675,107.128,105.956605224792,83.7,97.2,89.9,99.2,99.2,45.9,6.5,1.2,53.65,64,800,96.5220296857553,99.764207261545,86.0051783369577,84.4391972018127,88.2752351358015,71.9960043855519,88,93,91,91,93,87,91,91,90,89,90,64.2,54.1,53.6,,3,0.11742,0.00571,0.2159,120000,1000,3500,5600,100,1000,2800,100,100,95,,,,,,44.5,,98.15518,98.91534,117.090196799376,58.1364935728703,84.77328,84.1982,115.44065,111.60528,90.62964,90.57843,93.7,94.6,85.83614,90.94906,71.71345,77.8725,73.8,80.9,48653.419,14054.786,3711.989,1.34771570018155,0.629266651330208,9.306,6.158,6.009,37.506,26.401,15.198,60.91,68.292,74.381,1.853,76.708,2.01957887445055,1.26570012196967,7.8,10.2,5.1,4.9,23.4,98.6,,,,,,,,,8139.384,16.7293155697855,,13.3,20,85,,,,,105.91932,82.33493,,20.5,99.1,97.5,1.01641025641026,98.7,87.6,1.12671232876712,11,16.8,1.52727272727273,57,48.5,1.17525773195876,94.3,93.9,1.00425985090522,26,17.1,1.52046783625731,88.2752351358015,71.9960043855519,1.22611297514611,96,,98,,1.04430379746835,,86.3,,99.3,,1.15063731170336,,19.4,x,6.8,x,2.85294117647059,x,47,x,61,x,1.29787234042553,x,93.2,,95.6,,1.02575107296137,,14.8,x,32,x,2.16216216216216,x,,,,,,,36.5,,,,,,,,,,,,,,,,,,,,,
Comoros,22,126,73,78,68,88,55,33,795.601,25.925,2,63.701,49.19614,79.46213,25,33.7,12.1,80.7,5.9,56.7,32.1,10.9,11.1,4.4,12,81.9471819435756,105.481491069117,75.491,93.1650650407799,106.831,120.705952783336,27.8,92.1,48.9,82.2,76.1,9.6,13.6,49,170,335,66,83.7011875895908,92.997141754919,80.0327964389977,34.1660372152865,47.2791691368007,28.9913024605844,94,96,91,92,99,0,91,91,0,0,85,38.1,37.5,44.6,41.1,59.1,0.00917,0.00858,0.01688,200,,,100,,100,100,,,,35,,,50.7,,,,73.81077,69.59522,57.6584387475961,7.938322770803,19.79565,21.23598,106.7561,99.45939,81.01586,77.85432,84.4,84.4,64.64455,78.02982,37.67515,42.00455,44.7,52.3,795.601,368.871,119.145,2.53484760499184,2.06142507897587,19.293,11.508,7.389,45.509,42.558,32.856,45.642,56.677,63.701,4.347,28.412,2.55973644074315,2.84290849648388,22,20.2,23.8,10,31.6,87.3,,,,17.3,39,,,,172.711,21.7082432023087,7.5,16.4,17.1,71,29,43.1,79,67.3,66.13553,51.98975,20.6,17.8,89.5,86.5,1.03468208092486,92.2,78.5,1.17452229299363,25.6,34.6,1.3515625,40.2,36.6,1.09836065573771,90,82,1.09756097560976,23.7,17.1,1.3859649122807,47.2791691368007,28.9913024605844,1.63080528034502,84.5,,93.3,,1.10414201183432,,66.3,,92.7,,1.39819004524887,,38.2,,21.9,,1.74429223744292,,39.2,,36.1,,0.920918367346939,,71.5,,95,,1.32867132867133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,68,60,31,34,28,46,26,21,10648.791,215.914,7,73.861,91.99121,86.88507,11,38.1,4.7,80.5,45,12.4,7.1,7.6,2.4,0.8,,30,108.918180402373,100.731,91.3094974460757,110.234,105.355277128514,84.1,98,92.9,97.6,97.9,58.1,95,94.5,110,92,400,94.4770735981847,96.8650584623821,85.5045215251918,82.6969817385066,85.1146505751991,73.612895881134,99,98,87,82,85,0,80,73,75,30,90,73.4,47.5,65.1,,,0.24255,0.07316,0.51731,67000,1700,3100,2500,100,500,2200,100,100,83,46,45,29.9951654850924,,,39.7,,97.22539,98.03096,80.8315218142969,61.3281904077621,42.93096,45.1228,108.10422,98.70942,87.69322,86.04758,94.4,96.1,76.65523,80.76033,48.00955,57.69745,58.2,72.1,10648.791,3749.852,1059.528,1.51399681447335,0.911573110023199,10.652,6.289,6.102,41.75,29.809,20.17,58.468,67.866,73.861,2.422,79.841,2.94359394341438,1.52818456796544,12.8,16.5,8.7,12.3,35.9,88,,,,,2,62.9,64.4,61.3,2007.27,18.8497454781486,,27.5,21.4,90,,3.3,,98.1,85.85392,73.64648,39.2,,90,82.2,1.09489051094891,97.8,97.2,1.00617283950617,7.3,6.4,0.876712328767123,49.5,41.5,1.19277108433735,,,,48.9,38.3,1.27676240208877,85.1146505751991,73.612895881134,1.15624646410647,72.5,,98.3,,1.35586206896552,,95.7,,98.7,,1.03134796238245,,11.3,,3.9,,2.8974358974359,,42.9,,56.5,,1.31701631701632,,91.4,,97.9,,1.07111597374179,,34.3,,54.7,,1.59475218658892,,,,,,,,39.8,39.4,40.2,15.8,71.6,58.1,57.7,58.5,38,73.4,6.4,10,2,27.6,56.8,56.5,57.9,5.3,5.4,5.3,7.1,2.7
El Salvador,106,60,15,17,13,46,13,8,6344.722,118.068,2,73.512,87.96985,91.24263,8.7,42,47,90,67,57,13.6,6.4,2.1,0.4,,,113.326622609305,95.786,95.8662062115493,100.679,104.671798794828,81.9,96,90.1,97.7,97.5,31.5,96.9,93.6,42.3,54,890,93.0130709637454,97.8264355947506,83.3605925010283,91.1250736675765,93.1934971148227,86.9771616960388,99,97,93,95,90,87,93,93,93,90,90,79.7,69.8,,,,0.16211,0.0891,0.31339,24000,500,1000,1000,100,200,1000,100,100,44,48,50,,,,30.9,,97.46197,98.43374,140.74785171623,28.997073045597,71.33213,73.04928,111.43178,106.82542,90.95395,91.54426,95.4,96.2,76.43223,80.00299,66.6396,72.16987,68.8,73.2,6344.722,2153.481,576.517,0.724793563748967,0.479835201785734,13.151,8.117,6.725,42.824,31.212,18.538,54.987,63.99,73.512,2.079,67.189,1.92922888996224,1.00312063017738,8.9,12.6,4.9,5.8,25.5,98.5,,,,,7.7,52,54.6,49.5,1289.326,20.3212370849345,,16.3,18.2,63.3,,9.7,,97.9,99.11323,60.62415,25.1,28,98.3,98.7,0.995947315096251,99.1,95.8,1.03444676409186,11.4,16.6,1.45614035087719,71.5,67.9,1.05301914580265,96.5,94.8,1.01793248945148,36.7,22.2,1.65315315315315,93.1934971148227,86.9771616960388,1.07147089302026,98.2,,98.8,,1.0061099796334,,93.7,,99.2,,1.05869797225187,,23.6,,5.3,,4.45283018867925,,71.3,,68.2,,0.956521739130435,,91.6,,98.7,,1.07751091703057,,16.8,,46.2,,2.75,,16.8,,46.2,,2.75,,24.8,24.1,25.6,18.7,44.2,59.2,57,61.5,45,77.9,7.9,18.3,6.1,44.3,61.6,61.5,57.5,3.5,3.7,3.2,4.4,3.8
Eritrea,51,151,45,49,39,93,33,18,4954.645,159.779,7,65.092,64.66297,38.95043,14,93.1,68.7,39.9,,72.8,50.3,1.9,15.3,4.2,51,72,106.832427246562,72.998,86.376314862178,85.308,103.386752258469,19.6,88.5,57.4,34.1,33.7,2.8,,5,490,501,43,19.290330471875,66.2697375,5.5438,11.2575267499219,28.8347921225384,6.11428571428573,97,97,95,95,93,85,95,95,96,95,94,44.8,43.4,,20.4,70.9,0.14643,0.22033,0.1059,15000,1500,1300,1000,200,100,1000,200,100,37,59,34,,,,,,91.28661,82.57652,7.29437082159411,1.177118720157,13.35083,13.10148,53.18238,45.93698,40.73263,37.09041,82.94,78.86,71.97574,74.41338,19.53609,18.98404,63.2,54.8,4954.645,2396.826,743.741,1.78707203966437,2.17441698889421,20.734,15.811,6.854,46.624,41.654,32.2,43.157,49.589,65.092,4.133,23.094,4.34944765182581,4.36797629487809,,,,12.9,40.7,,83,33.2,12.2,44.6,51.4,,,,1085.265,21.903991103298,1,17.4,18.8,,60.3,51.4,69.9,53.6,39.03837,23.07967,31.9,22.3,,,,73.9,16.9,4.37278106508876,38.4,55.6,1.44791666666667,50.6,41.1,1.23114355231144,91.34,76.75,1.19009771986971,32.3,19.5,1.65641025641026,28.8347921225384,6.11428571428573,4.71597067424692,,,,,,,8.6,x,90.1,x,10.4767441860465,x,56.6,x,26.5,x,2.13584905660377,x,41.6,x,50.3,x,1.20913461538462,x,71.46,y,96.12,y,1.34508816120907,y,8.5,x,36.8,x,4.32941176470588,x,21.4,x,43.4,x,2.02803738317757,x,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,35,203,58,64,53,121,41,28,102403.196,3229.95,187,65.475,38.99598,85.58775,20,73,57.5,60,7,75.5,38.4,2.8,9.9,2.9,74,85.6,105.865506329114,58.862,90.8915106155994,95.886,105.224494015662,59,62.4,31.8,27.7,26.2,2.1,0.3,16.5,410,353,64,39.1242615806378,77.2035782652659,29.9165269481736,7.07891807037814,18.4548724416825,4.32816574177147,75,86,77,75,70,0,77,77,63,76,80,29.8,29.5,34.6,45.3,63.6,0.332628,0.258367592386438,0.23247224662541,710000,62000,67000,30000,3800,2700,20000,2900,2500,69,59,35,,56.9,,,,62.97093,47.04113,50.5130340963966,15.3669238595896,31.17106,29.53249,106.94309,97.20219,88.71225,82.39918,63.5,67,37.33663,39.28728,34.82483,33.3778,21.1,26.4,102403.196,49499.781,15177.181,2.90736968417313,2.21434141696122,21.27,18.133,6.825,48.076,47.524,31.779,42.944,47.1,65.475,4.198,19.922,4.62896462275661,4.30408838954642,27.4,31.1,23.5,14,40,3,65.2,16,18,28,63,,,,24772.243,24.1908885343774,1,17,22.2,71.2,33,60,38,31,43.20824,17.67999,31.8,24,12,2,7.2,80.1,21.2,3.77830188679245,25.4,39.9,1.57086614173228,40.5,28.3,1.43109540636042,80.1,63.1,1.26941362916006,37.7,18.7,2.01604278074866,18.4548724416825,4.32816574177147,4.26390150995676,1,,10,,11.9,,13.1,,66.9,,5.10687022900763,,42.2,,26.9,,1.56877323420074,,31.5,,37.3,,1.18412698412698,,48.7,y,81.5,y,1.6735112936345,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
